dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
feynman_III_17_37,success,3,lso,0.9776712806136814,0.7470353429855534,22,368.0220453739166,,0.1,(2.0862100006785296 add (cos((-0.24790272402064809 add (1.0751319675473532 mul x_2))) mul (((1.7656026972597514 add (0.40538672836705353 mul x_0)))**2 mul abs((-0.04605581900524935 add (0.32464548428176176 mul x_1))))))
feynman_III_19_51,success,5,lso,0.9523066291841583,0.06758341746805638,26,346.80653285980225,,0.1,(-0.003022562095549401 add (exp(((1.036297815738746 mul x_1) add (-1.039054763392072 mul x_2))) mul (inv((1.0867249263087277 add (-1.4485742134837785 mul x_3))) mul exp(((-0.9401314493153908 mul x_4) add (0.30444344755241415 mul x_0))))))
feynman_III_21_20,success,4,lso,0.990009126546967,1.7935205059308241,24,229.47376465797424,,0.1,(0.4490283245540595 add (((-3.418056092936949 add (-1.2188858886970437 mul x_0)))**2 mul (inv((-0.23703058180501885 add (-1.3524155594798732 mul x_3))) mul ((-0.4526359210355214 add (-0.04564897770433323 mul (x_2 mul x_1))))**2)))
feynman_III_4_32,success,4,lso,0.9914133080156071,0.7991719344339693,24,327.0745265483856,,0.1,(-0.2788179606014308 add (inv((0.9184509062455484 add (7.63167737889167 mul (x_0 mul x_1)))) mul (((4.060140614511485 mul x_2) add (16.827263808236015 mul cos((1.8869721331090397 add (-0.27066950343809243 mul x_3))))))**2))
feynman_III_4_33,success,4,lso,0.9900277350589136,0.5101482403343353,16,301.36548233032227,,0.1,(-0.6479146889945823 add (x_2 mul ((1.0221444196287284 mul x_3) sub (0.12374851527612447 mul arctan((-684553.8349661026 add (266244.3597359055 mul x_1)))))))
feynman_III_7_38,success,3,lso,0.9796149392997857,4.564695009196189,22,363.72663259506226,,0.1,(-1.437928402324625 add (abs((0.06381073496051172 add (2.2569155695090974 mul x_1))) mul exp(((0.33380482325781297 mul x_0) add (3.136570481730833 mul exp((-0.04022564935398012 add (-0.5201408819064137 mul x_2))))))))
feynman_III_8_54,success,3,lso,-0.12218627827192674,0.38781289690995274,35,242.08544921875,,0.1,(0.3493234227072811 add ((((-0.5930073322399274 mul cos((6.611904709587557 add (-2.502985384059778 mul x_2)))) add (1.6609486011460872 mul inv((8.542705235470967 add (-10.981784812608185 mul x_1))))))**2 mul cos((-3.624247594739883 add (5.328187441289543 mul (x_1 mul ((0.18923197229761424 mul x_0) add (0.08036801078599563 mul x_1))))))))
feynman_III_9_52,success,6,lso,0.4848414010797044,12.216009378953006,47,690.5530865192413,,0.1,(1195.5033756373793 add (inv((-155.4782670610868 add (-0.13550613329848107 mul x_2))) mul ((0.9 mul x_7) sub ((-109.87412916601366 mul (abs((0.9349695306266764 add (-0.006134013224541791 mul x_0))) mul ((-42.50747645140094 add (-0.14082881338079006 mul x_3)))**2)) sub ((-1415.0188034309353 mul x_1) sub (-4.132952669188769 mul (((0.3332397995306707 mul x_1) add ((-10.11199422906756 mul x_4) sub (-9.776728557176513 mul x_5))))**2))))))
feynman_II_10_9,success,3,lso,0.9979519317862016,0.008843122607158563,22,254.07259345054626,,0.1,(-0.028712157914182527 add (inv((15.076956893178878 add (11.524489452572428 mul x_2))) mul (inv((0.2664820331765628 add (1.2893411750743926 mul x_1))) mul abs((4.3980428653493435 add (18.186285376146344 mul x_0))))))
feynman_II_11_20,success,5,lso,0.9831923277717821,1.0668521819643888,31,116.31391143798828,,0.1,(0.23127192530060736 add (((-1271.3976184530263 add (-446.41831023889483 mul x_0)))**2 mul (((-167.0155507600118 add (902.8167492072528 mul x_1)))**2 mul exp(((0.3933245989631558 mul x_2) add (21.230340781558056 mul arctan((-4.427082089259028 add (-1.0177484453101666 mul (x_4 mul x_3))))))))))
feynman_II_11_27,success,4,lso,0.9901755330509681,0.05371001349288892,19,324.8097803592682,,0.1,(0.020492317746844027 add (((0.1915454624418788 add (0.6470578334491484 mul x_1)))**2 mul abs((-0.2789575980613062 add (2.1580222089329713 mul (x_0 mul (x_3 mul x_2)))))))
feynman_II_11_28,success,2,lso,0.9910358838915023,0.03066002469728003,15,264.6936230659485,,0.1,(0.9640314710655102 add (sin((6.28302823118384 add (0.006193101474645393 mul x_1))) mul ((4.0110733125824485 add (11.85756841694553 mul x_0)))**2))
feynman_II_11_3,success,5,lso,0.9249715895634889,0.035464679931413765,21,382.78849482536316,,0.1,(-0.0011565798064344741 add (inv((0.2564778218133034 add (1.4783715395123556 mul x_2))) mul exp(((0.512313492361926 mul x_1) add ((0.4609401585024304 mul x_0) sub (0.6736336860535772 mul x_3))))))
feynman_II_13_17,success,4,lso,0.9821648313108736,0.0032193018566195586,26,120.38680696487427,,0.1,(-0.004305113549669163 add (x_2 mul (inv((10.07869333017614 add (24.182240416034986 mul x_0))) mul inv(((21.167031602148025 mul cos((1.6016718106477779 add (-0.02365814816187095 mul x_1)))) sub (-0.2794176488200528 mul (x_3 mul x_1)))))))
feynman_II_13_23,success,3,lso,0.9899611952805197,0.11061519607226031,10,173.49255657196045,,0.1,(0.09805780283078518 add (inv((0.8510576490137968 add (0.020594260905410645 mul x_2))) mul x_0))
feynman_II_13_34,success,3,lso,0.9894471058237249,0.2149666913983003,16,347.3943817615509,,0.1,(0.6059844636339162 add (sin((3.1367601718724623 add (0.012865348118621701 mul x_1))) mul ((-111.26792351196237 mul x_0) sub (-6.954624207408218 mul x_2))))
feynman_II_15_4,success,3,lso,0.9988123119163628,0.1940614255855165,18,264.8704001903534,,0.1,(0.30902884776206696 add (((0.02913996883802466 mul x_2) add (-0.9966611356990486 mul x_0)) mul (cos((6.36202598846925 add (-1.025105972004599 mul x_2))) mul x_1)))
feynman_II_15_5,success,3,lso,0.9990264461512977,0.1516241661370301,22,331.32931900024414,,0.1,(-0.0697528872366477 add (sin((9.403324125095352 add (0.16879207342153715 mul x_0))) mul (sin((1.5302205460407106 add (-0.9900814921044545 mul x_2))) mul abs((0.732173206273547 add (6.313299313882588 mul x_1))))))
feynman_II_21_32,success,5,lso,0.9257668469976186,0.014487101004131106,24,180.90910243988037,,0.1,(0.0013011221194771327 add (inv((-1.752219155587771 add (29.32011503713703 mul x_1))) mul (((0.3313544931187686 mul x_0) add (4.5944343734257655 mul exp(((-0.5157684013270653 mul x_2) add (-0.05615401879606806 mul x_4))))))**2))
feynman_II_24_17,success,3,lso,0.981325245412324,0.11178700039871996,16,306.61851692199707,,0.1,(4.658606075934661 add ((0.6662571418630797 mul x_0) sub (5.816010980208531 mul sin(((-0.06055971108676378 mul x_2) add (0.7736617266957737 mul x_1))))))
feynman_II_27_16,success,3,lso,0.9978731895158247,3.963354240438356,22,356.6777846813202,,0.1,(0.5435502411850868 add (((-0.15308021767790467 add (3.3902655061562292 mul x_2)))**2 mul (((3.7070153161303168 add (1.451841227064661 mul x_1)))**2 mul cos((10.995037536717593 add (0.004156579643790678 mul x_0))))))
feynman_II_27_18,success,2,lso,0.9978901124915854,0.9509902264355141,10,256.41777873039246,,0.1,(-0.0017695390704563134 add (((0.12449462648007327 add (0.9557858156512602 mul x_1)))**2 mul x_0))
feynman_II_2_42,success,5,lso,0.9779778023736877,1.1626997031520572,22,275.4237267971039,,0.1,(0.12405675696185262 add (((1.2675646132694642 mul x_2) sub (1.2891949984122948 mul x_1)) mul exp(((0.381706715065837 mul x_3) sub ((0.5097892397143695 mul x_4) sub (0.36166423927896546 mul x_0))))))
feynman_II_34_11,success,4,lso,0.9672731663205163,0.6413022838024642,24,439.402765750885,,0.1,(-0.26438171345469397 add ((((2.4517385821222786 mul inv((-0.24430582323680158 add (-4.981664265107091 mul x_3)))) add (-0.07096463900034429 mul x_1)))**2 mul abs((-1.3593425792811333 add (-3.355534783006096 mul (x_2 mul x_0))))))
feynman_II_34_2,success,3,lso,0.9967442449972771,0.712969320839749,17,218.4796073436737,,0.1,(-2.3313713158698 add (((2.7640201019503197 add (0.6901155195873314 mul x_1)))**2 mul abs((-0.10865389618446993 add (-0.06080385772248236 mul (x_0 mul x_2))))))
