dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
feynman_I_14_3,success,3,lso,0.993673192511647,1.3418623672330576,22,179.48160767555237,,0.01,(-2.158678540965231 add (((6.975747934192992 add (1.9963498623805145 mul x_1)))**2 mul (((-1.076009447331957 add (-0.3521820060944954 mul x_0)))**2 mul cos((-1.5689905320545658 add (0.011389296776094335 mul x_2))))))
feynman_I_14_4,success,2,lso,0.999985534148053,0.050288935829178094,15,7.337454080581665,,0.01,(0.0794538220086347 add (((-0.02716358638681189 add (0.8808640270495242 mul x_1)))**2 mul abs((0.004913829934297717 add (-0.6533917135937237 mul x_0)))))
feynman_I_15_10,success,3,lso,0.9937951644379673,0.16577005035338513,22,18.163049459457397,,0.01,(-0.15714603312267172 add (inv((15.96500874027841 add (0.2938603218878631 mul x_2))) mul ((-1.5032473268269606 mul x_0) add ((1.518879439716531 mul x_1) add (19.818725716663455 mul (x_1 mul x_0))))))
feynman_I_15_3t,success,4,lso,0.9923712225998521,0.10373863905667977,13,9.181882381439209,,0.01,(-0.11548203530445178 add ((1.0413412317139825 mul x_3) add (-0.001210021091070124 mul ((x_2 mul x_1) mul x_0))))
feynman_I_15_3x,success,4,lso,0.9877952839923637,0.16942017282428323,17,62.70792603492737,,0.01,(2.3935815122599853 add ((-1.6166262436652512 mul x_3) sub ((-1.0382447825395567 mul x_0) add ((0.032588656193509584 mul x_2) add (1.3259851871152848 mul x_1)))))
feynman_I_16_6,success,3,lso,0.9854554784615228,0.1543179155875751,23,174.17174983024597,,0.01,(-0.15051096514282997 add ((1.0737346423563274 mul x_0) sub (0.20630418018603544 mul (((-0.42094481405680784 mul x_2) add (0.5034976519079344 mul x_0)) mul ((-1.112033461509283 mul x_1) add (1.4087389168089954 mul x_0))))))
feynman_I_18_12,success,3,lso,0.999063529009796,0.2258413312254114,22,29.76155996322632,,0.01,(-0.04177936566388434 add (((-8.369842938384647 add (-2.9568328755736246 mul x_1)))**2 mul (sin((0.007034320064285547 add (0.9976434012454605 mul x_2))) mul sin((9.4247009722497 add (-0.00969592749475903 mul x_0))))))
feynman_I_18_14,success,4,lso,0.9980470954899581,0.9304902946762564,29,28.96454691886902,,0.01,(-0.18219304048721918 add ((((-2.6062429301370407 add (-0.9317490067314701 mul x_2)))**2 mul (((3.6413458623221144 add (1.2811064266750511 mul x_0)))**2 mul sin((-3.1414566464826854 add (-0.005111458304959678 mul x_1))))) mul sin((-0.049825327429791254 add (1.01486204822138 mul x_3)))))
feynman_I_18_4,success,4,lso,0.9960789116488706,0.05255915592214244,28,14.955172538757324,,0.01,(0.005400763448931449 add ((1.0023609822076691 mul x_2) add (0.07660533196546358 mul (((9.617289952707893 mul x_3) sub (9.687491162156164 mul x_2)) mul ((0.11570804879884583 mul x_1) sub (-88.04959729018913 mul cos((-1.5629799777098596 add (-0.0013535507931438516 mul x_0)))))))))
feynman_I_24_6,success,4,lso,0.9859857960202825,1.6844982623877103,21,297.374356508255,,0.01,(-2.0816177511781033 add (((0.10177579596141005 add (0.5499005547915071 mul x_3)))**2 mul exp(((0.4127824544160023 mul x_2) add ((0.38277610223656194 mul x_1) sub (-0.46161863111665713 mul x_0))))))
feynman_I_25_13,success,2,lso,0.9999947865603949,0.0019077713644052696,15,7.633524417877197,,0.01,(0.0031437894978771862 add (inv((-0.17092582225612538 add (23.001115334504828 mul x_1))) mul abs((0.06020101457100477 add (-22.879417752348925 mul x_0)))))
feynman_I_26_2,success,2,lso,0.9961853376628226,0.02475905688207565,15,13.041343212127686,,0.01,(-0.009450527318218679 add (sin((-3.2675457760710085 add (-0.9545552972192193 mul x_1))) mul ((0.2803818148670889 add (0.8554726813490532 mul x_0)))**2))
feynman_I_27_6,success,3,lso,0.9797440666428285,0.05098773052201603,23,225.06768226623535,,0.01,(0.36651130723287667 add (((1.002943634284726 mul x_2) sub (2.6709319695759994 mul x_1)) mul (inv((-2.8373184393535897 add (-3.4191967988367815 mul x_2))) mul arctan((-0.16385879415235122 add (0.5011230928631263 mul x_0))))))
feynman_I_29_16,success,4,lso,0.8555617811193237,0.8137494499392073,23,462.7411711215973,,0.01,(1.369188200542374 add (abs(((-2.3039335411722988 mul x_3) add (2.2824075698539774 mul x_2))) mul ((31.299249680275885 mul sin((-3.131472206366184 add (-0.0057694938025093035 mul x_1)))) add (0.1681123659227505 mul x_0))))
feynman_I_29_4,success,2,lso,0.9999898132718575,0.00324139794300251,15,6.751774787902832,,0.01,(-0.008082508683868634 add (inv((0.010306305866603305 add (1.2978327338968647 mul x_1))) mul abs((0.03345172248234969 add (1.3028669021061183 mul x_0)))))
feynman_I_30_3,success,3,lso,0.6962269781576871,0.9772327555751974,35,396.8823435306549,,0.01,(0.9614509869960047 add ((((0.25641180904065647 mul ((2.514458620477334 add (-0.7955249929140941 mul x_1)))**2) add (-0.3508524110557372 mul cos((0.12348837900901617 add (-1.0244717678984752 mul (x_1 mul x_2)))))))**2 mul ((21.939529690800917 mul inv((-4.024576550809703 add (-7.787329838369103 mul x_0)))) sub (-3.5507581631352205 mul x_0))))
feynman_I_30_5,success,3,lso,0.9945901244235171,0.009446384987807687,17,25.015477418899536,,0.01,(0.02031033300035037 add (inv((-0.5547468418961512 add (2.422054933270534 mul x_2))) mul exp(((-0.38201138998203565 mul x_1) sub (-0.7576999764779327 mul x_0)))))
feynman_I_32_17,success,6,lso,0.9924216588351314,0.5055213681005982,28,41.34199070930481,,0.01,(0.3361250286347329 add (exp(((1.3144408322412149 mul x_3) add (-1.781840035492615 mul x_5))) mul (exp((-3.748119651012507 add (3.6396607736238495 mul x_4))) mul exp(((1.2972629085086511 mul x_2) add (0.5298182980117148 mul (x_0 mul x_1)))))))
feynman_I_32_5,success,4,lso,0.9826193124647397,0.076532675416739,21,17.345027923583984,,0.01,(0.02171470298749865 add (exp(((-1.900398459549745 mul x_3) add ((0.6126877248110462 mul x_0) sub (-0.7208997546437982 mul x_1)))) mul inv((0.19458035745642963 add (2.783646024925307 mul x_2)))))
feynman_I_34_1,success,3,lso,0.9748982420128872,0.3012414464846239,24,20.008347511291504,,0.01,(-0.031976195209701755 add (inv((0.9704656559220741 add (-0.18186696504234492 mul x_1))) mul abs(((-5.106282809746672 mul exp(((-0.7020078061099305 mul x_0) add (0.33603492358948717 mul x_2)))) add (-0.8432478793114068 mul x_2)))))
feynman_I_34_14,success,3,lso,0.9835056081099655,0.19802506781356724,16,224.2732756137848,,0.01,(-0.4466872515416236 add ((0.7841135062758532 mul exp(((-0.453316407686097 mul x_0) add (1.376928522153613 mul x_1)))) sub (-1.2902251594022573 mul x_2)))
feynman_I_34_27,success,2,lso,0.9999946915139392,0.0017760119259459886,10,11.124505519866943,,0.01,(0.0017046864580528634 add (x_0 mul abs((0.0009965650728763938 add (-0.1594710843400893 mul x_1)))))
feynman_I_34_8,success,4,lso,0.9988653554075934,0.40929983719441515,24,95.21589303016663,,0.01,(-0.01297199402146989 add (((10.330993507196588 add (3.52073940292533 mul x_1)))**2 mul (inv((0.004660374761696929 add (7.673281779083701 mul x_3))) mul abs((0.0006961418041957363 add (-0.05081061788587541 mul (x_0 mul x_2)))))))
feynman_I_37_4,success,3,lso,0.9937392622075029,0.2335207422642563,24,26.329160928726196,,0.01,(0.2761402251757831 add (abs(((0.051495301691066635 mul x_1) sub (-0.050654238018811346 mul x_0))) mul ((-6.279209793100715 add (-2.249311618741818 mul (x_2 mul cos((-7.935500162754893 add (-0.3224376310593681 mul x_2)))))))**2))
feynman_I_38_12,success,4,lso,0.9632560017063898,0.39579048544624584,26,322.51155376434326,,0.01,(0.04189640693225458 add (((0.022407655945858945 add (-0.3896668305625583 mul x_2)))**2 mul exp(((0.34218068447208994 mul x_3) add ((-0.9553706317277106 mul x_1) add (0.33994921407127626 mul ((2.4950308465305886 add (-0.547787294112244 mul x_0)))**2))))))
feynman_I_39_1,success,2,lso,0.9999734973871202,0.0374781202109364,15,22.633018732070923,,0.01,(-0.13267245877478273 add ((0.03310892308899535 mul x_0) add ((0.042537787625339 mul x_1) sub (-1.4923419204831034 mul (x_0 mul x_1)))))
feynman_I_39_11,success,3,lso,0.9999936097612278,0.00785905217370632,22,23.170506477355957,,0.01,(0.02353457216244001 add (abs((0.010055825715754767 add (-0.4579299581621069 mul x_2))) mul abs((-0.014781208972546277 add (3.773302246567833 mul (inv((-1.7145430746535728 add (1.7154519159608312 mul x_0))) mul x_1))))))
feynman_I_39_22,success,4,lso,0.9953462326019141,0.7034305685031361,29,22.39918565750122,,0.01,(-0.5337729999035424 add (((-0.16806875708712374 add (-0.052918899628182595 mul x_1)))**2 mul (((3.3477983341709536 add (1.0884571531664047 mul x_3)))**2 mul abs((-0.061995888121047775 add (-3.171634401656816 mul (inv((0.027216932657585048 add (1.7215393116998488 mul x_2))) mul x_0)))))))
feynman_I_40_1,success,6,lso,0.9382663615416659,0.19560684528313219,33,379.402911901474,,0.01,(-0.2526428259821187 add (inv((0.2348569716472946 add (0.7422870666978895 mul x_1))) mul (exp(((0.22321246794813865 mul x_5) add (-0.27277870528425313 mul x_4))) mul exp(((0.30167101758875015 mul x_3) sub (0.8811610794391017 mul arctan(((0.5646911050483875 mul x_2) add (-0.2688729586028439 mul x_0)))))))))
feynman_I_41_16,success,5,lso,0.9360041735061677,0.6315110919013376,21,268.93882298469543,,0.01,(0.26745663725779617 add (exp(((-1.3459478788385468 mul x_4) sub ((-0.5624942921213684 mul x_0) sub (0.38430912491267194 mul x_1)))) mul ((-0.47585899199181525 add (-0.21818686433611287 mul x_3)))**2))
feynman_I_43_16,success,4,lso,0.9935509905421006,0.6218450794452172,29,74.07009434700012,,0.01,(-0.14713571053975819 add (((-0.14652333981866333 add (-0.053216879897170416 mul x_0)))**2 mul (((1.5559672433532885 add (0.5426118616399993 mul x_1)))**2 mul (inv((0.10849773891618972 add (2.102572969103193 mul x_3))) mul ((3.5927715756663416 add (1.2735366494089513 mul x_2)))**2))))
feynman_I_43_31,success,3,lso,0.9921931925501292,1.610284288067614,22,16.78286600112915,,0.01,(-1.581490965120996 add (((-0.8729231430379125 add (-0.2906737452447272 mul x_2)))**2 mul (abs((-1.214987991405855 add (-9.511928435661117 mul x_1))) mul ((-0.2734803418139943 add (-0.08964618293194866 mul x_0)))**2)))
